,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
1,2000,VAN,Stromile Swift,Career,LSU,,50.0,40.0,26.6,5.1,9.0,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,,,7.0,0.7,1.3,2.6,2.5,2.6,13.4,,5.84
2,2000,CHI,Marcus Fizer,Career,Iowa State,,97.0,91.0,31.1,7.1,13.9,0.511,6.9,13.2,0.524,0.2,0.7,0.292,4.4,6.3,0.7020000000000001,,,7.4,1.0,0.9,0.9,2.3,2.6,18.9,,6.27
3,2000,ORL,Mike Miller,Career,Florida,,65.0,56.0,26.7,4.5,9.2,0.483,3.3,5.8,0.565,1.2,3.5,0.345,3.1,4.4,0.718,,,6.0,2.3,1.2,0.3,2.2,1.9,13.3,,7.07
4,2000,ATL,DerMarr Johnson,Career,Cincinnati,,32.0,32.0,27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3.0,0.737,,,3.8,1.4,1.0,0.9,1.4,2.0,12.6,,8.5
5,2000,CHI,Chris Mihm,Career,Texas,,96.0,93.0,29.3,5.2,10.4,0.49700000000000005,5.1,10.1,0.503,0.1,0.3,0.3,4.2,6.1,0.684,,,9.8,0.6,0.4,2.8,2.3,3.0,14.6,,7.62
6,2000,CLE,Jamal Crawford,Career,Michigan,,17.0,16.0,33.9,6.2,15.0,0.41200000000000003,4.2,9.1,0.46799999999999997,1.9,5.9,0.327,2.4,3.0,0.784,,,2.8,4.5,1.1,0.9,3.1,1.1,16.6,,9.27
7,2000,HOU,Joel Przybilla,Career,Minnesota,,49.0,45.0,27.6,4.1,6.9,0.591,4.1,6.9,0.591,0.0,0.0,,1.7,3.3,0.521,,,6.9,1.9,0.7,3.4,2.9,3.1,9.9,,9.77
8,2000,ORL,Keyon Dooling,Career,Missouri,,59.0,40.0,28.1,3.8,9.2,0.41100000000000003,2.6,5.8,0.452,1.1,3.4,0.33799999999999997,3.4,4.7,0.733,,,2.4,3.4,1.3,0.5,2.3,1.7,12.1,,6.05
9,2000,BOS,Jérôme Moïso,Career,UCLA,,62.0,51.0,26.8,4.9,9.8,0.495,4.8,9.5,0.505,0.1,0.4,0.22699999999999998,2.2,3.5,0.614,,,6.8,1.1,1.0,1.3,2.3,2.8,12.0,,9.48
10,2000,DAL,Etan Thomas,Career,Syracuse,,122.0,109.0,26.8,4.1,6.8,0.6,4.1,6.8,0.6,0.0,0.0,,2.9,4.8,0.598,,,6.9,0.4,0.7,3.5,1.7,2.8,11.0,,7.2
11,2000,ORL,Courtney Alexander,Career,Overall,,112.0,47.0,30.9,7.2,15.8,0.456,5.7,11.7,0.488,1.5,4.1,0.362,3.0,3.9,0.767,,,3.9,2.2,1.1,0.2,2.0,1.8,18.9,,7.56
12,2000,DET,Mateen Cleaves,Career,Michigan State,,123.0,115.0,30.6,4.4,10.8,0.406,3.2,7.1,0.45399999999999996,1.2,3.7,0.313,2.6,3.5,0.738,,,2.1,6.6,1.6,0.1,3.8,2.2,12.5,,9.5
13,2000,MIL,Jason Collier,Career,Overall,,97.0,82.0,29.2,4.9,10.8,0.45799999999999996,4.2,8.8,0.478,0.7,1.9,0.369,3.3,4.6,0.711,,,7.1,1.2,0.6,1.1,2.8,2.7,13.9,,9.13
14,2000,SEA,Desmond Mason,Career,Oklahoma State,,129.0,109.0,30.0,4.8,9.8,0.486,3.8,7.1,0.529,1.0,2.7,0.37200000000000005,2.6,3.6,0.731,,,6.2,1.1,1.2,0.7,1.7,2.1,13.2,,5.94
15,2000,LAC,Quentin Richardson,Career,DePaul,,64.0,62.0,34.2,6.3,14.0,0.45399999999999996,4.5,9.0,0.5,1.8,5.0,0.369,3.4,4.7,0.728,,,10.2,1.6,0.9,0.3,2.2,2.3,17.9,,7.85
17,2000,PHI,Speedy Claxton,Career,Hofstra,,119.0,59.0,34.1,5.9,12.6,0.46799999999999997,5.4,10.9,0.491,0.5,1.7,0.322,4.5,6.1,0.748,,,4.8,5.5,2.4,0.3,3.1,2.3,16.9,,-4.42
18,2000,TOR,Morris Peterson,Career,Michigan State,,137.0,62.0,22.4,4.1,8.5,0.484,3.0,5.6,0.537,1.1,2.8,0.377,2.3,3.1,0.746,,,4.7,0.9,0.9,0.3,1.5,2.2,11.6,,9.41
19,2000,NYK,Donnell Harvey,Career,Florida,,37.0,9.0,20.2,3.9,7.7,0.507,3.9,7.6,0.509,0.0,0.0,0.0,2.3,3.8,0.61,,,7.0,1.0,0.7,0.8,1.6,2.7,10.1,,8.51
20,2000,DEN,Mamadou N'Diaye,Career,Auburn,,128.0,107.0,21.8,2.5,4.9,0.506,2.5,4.9,0.508,0.0,0.0,0.0,1.9,2.9,0.6409999999999999,,,6.2,0.6,0.7,1.9,1.9,3.0,6.8,,6.11
21,2000,POR,Erick Barkley,Career,St. John's (NY),,65.0,64.0,34.8,4.9,12.3,0.396,3.2,7.2,0.444,1.6,5.0,0.32799999999999996,3.2,4.4,0.727,,,3.1,4.6,2.6,0.3,2.2,2.4,14.6,,8.02
22,2000,LAL,Mark Madsen,Career,Stanford,,108.0,77.0,25.1,4.0,6.8,0.5870000000000001,4.0,6.7,0.589,0.0,0.0,0.0,3.0,5.0,0.596,,,7.9,0.6,0.4,0.6,1.3,2.5,10.9,,8.67
23,2000,DAL,Dan Langhi,Career,Vanderbilt,,121.0,61.0,24.4,4.0,9.0,0.445,2.9,6.0,0.475,1.1,3.0,0.38299999999999995,3.3,3.9,0.831,,,4.6,0.7,0.5,0.2,1.6,1.5,12.4,,7.24
24,2000,CHI,A.J. Guyton,Career,Indiana,,128.0,122.0,34.0,5.8,12.8,0.455,3.6,7.5,0.484,2.2,5.3,0.414,2.5,3.2,0.79,,,3.4,3.1,1.0,0.4,2.3,1.3,16.4,,10.42
25,2000,CHI,Jake Voskuhl,Career,UConn,,138.0,135.0,22.2,2.3,4.3,0.542,2.3,4.3,0.542,0.0,0.0,,1.6,2.4,0.6559999999999999,,,6.4,0.9,0.6,1.4,1.6,3.2,6.3,,8.1
